NameofKaza,sanjak,kazcode,NameofSanjak,sancode,NameofVilayet,vilcode,MaleIptidaiSchoolsDistributio,FemaleIbtidaiSchools1902190,MaleRusdiyyeSchools1876,MaleRusdiyyeSchools19021908,FemaleRusdiyyeSchools190219
Sungurlu Kaza,Yozgat Sanjak-1,6-3-4,Yozgat Sanjak,6-3,Ankara Vilayet,6.0,19.66,2.33,0.75,1.0,0.0
Yozgat Central Kaza,Yozgat Sanjak-1,6-3-5,Yozgat Sanjak,6-3,Ankara Vilayet,6.0,19.66,2.33,0.75,1.0,0.0
Aydın Central Kaza,Aydın Sanjak-1,9-3-1,Aydın Sanjak,9-3,Aydin Vilayet,9.0,14.16,11.5,0.33,1.83,0.0
Bozdoğan Kaza,Aydın Sanjak-1,9-3-2,Aydın Sanjak,9-3,Aydin Vilayet,9.0,14.16,11.5,0.33,1.83,0.0
Çine Kaza,Aydın Sanjak-1,9-3-3,Aydın Sanjak,9-3,Aydin Vilayet,9.0,14.16,11.5,0.33,1.83,0.0
Nazilli Kaza,Aydın Sanjak-1,9-3-4,Aydın Sanjak,9-3,Aydin Vilayet,9.0,14.16,11.5,0.33,1.83,0.0
Söke Kaza,Aydın Sanjak-1,9-3-5,Aydın Sanjak,9-3,Aydin Vilayet,9.0,14.16,11.5,0.33,1.83,0.0
Buldan Kaza,Denizli Sanjak-1,9-5-1,Denizli Sanjak,9-5,Aydin Vilayet,9.0,172.66,112.5,0.33,1.0,0.16
Çal Kaza,Denizli Sanjak-1,9-5-2,Denizli Sanjak,9-5,Aydin Vilayet,9.0,172.66,112.5,0.33,1.0,0.16
Denizli Central Kaza,Denizli Sanjak-1,9-5-3,Denizli Sanjak,9-5,Aydin Vilayet,9.0,172.66,112.5,0.33,1.0,0.16
Garbikaraağac (Acıpayam) Kaza,Denizli Sanjak-1,9-5-4,Denizli Sanjak,9-5,Aydin Vilayet,9.0,172.66,112.5,0.33,1.0,0.16
Saray Kaza,Denizli Sanjak-1,9-5-5,Denizli Sanjak,9-5,Aydin Vilayet,9.0,172.66,112.5,0.33,1.0,0.16
Tavas Kaza,Denizli Sanjak-1,9-5-6,Denizli Sanjak,9-5,Aydin Vilayet,9.0,172.66,112.5,0.33,1.0,0.16
Bayındır Kaza,Izmir Sanjak-1,9-1-1,Izmir Sanjak,9-1,Aydin Vilayet,9.0,25.15,21.07,0.88,1.3,0.15
Bergama Kaza,Izmir Sanjak-1,9-1-2,Izmir Sanjak,9-1,Aydin Vilayet,9.0,25.15,21.07,0.88,1.3,0.15
Çeşme Kaza,Izmir Sanjak-1,9-1-3,Izmir Sanjak,9-1,Aydin Vilayet,9.0,25.15,21.07,0.88,1.3,0.15
Foçateyn (Foça) Kaza,Izmir Sanjak-1,9-1-4,Izmir Sanjak,9-1,Aydin Vilayet,9.0,25.15,21.07,0.88,1.3,0.15
Izmir Central Kaza,Izmir Sanjak-1,9-1-5,Izmir Sanjak,9-1,Aydin Vilayet,9.0,25.15,21.07,0.88,1.3,0.15
Kuşadası Kaza,Izmir Sanjak-1,9-1-6,Izmir Sanjak,9-1,Aydin Vilayet,9.0,25.15,21.07,0.88,1.3,0.15
Menemen Kaza,Izmir Sanjak-1,9-1-7,Izmir Sanjak,9-1,Aydin Vilayet,9.0,25.15,21.07,0.88,1.3,0.15
Ödemiş Kaza,Izmir Sanjak-1,9-1-8,Izmir Sanjak,9-1,Aydin Vilayet,9.0,25.15,21.07,0.88,1.3,0.15
Seferhisar Kaza,Izmir Sanjak-1,9-1-9,Izmir Sanjak,9-1,Aydin Vilayet,9.0,25.15,21.07,0.88,1.3,0.15
Tire Kaza,Izmir Sanjak-1,9-1-10,Izmir Sanjak,9-1,Aydin Vilayet,9.0,25.15,21.07,0.88,1.3,0.15
Urla Kaza,Izmir Sanjak-1,9-1-11,Izmir Sanjak,9-1,Aydin Vilayet,9.0,25.15,21.07,0.88,1.3,0.15
Bodrum Kaza,Menteşe Sanjak -1,9-4-1,Menteşe Sanjak,9-4,Aydin Vilayet,9.0,19.83,7.0,0.5,0.83,0.0
Köyceğiz Kaza,Menteşe Sanjak -1,9-4-2,Menteşe Sanjak,9-4,Aydin Vilayet,9.0,19.83,7.0,0.5,0.83,0.0
Marmaris Kaza,Menteşe Sanjak -1,9-4-3,Menteşe Sanjak,9-4,Aydin Vilayet,9.0,19.83,7.0,0.5,0.83,0.0
Meğri (Fethiye) Kaza,Menteşe Sanjak -1,9-4-4,Menteşe Sanjak,9-4,Aydin Vilayet,9.0,19.83,7.0,0.5,0.83,0.0
Milas Kaza,Menteşe Sanjak -1,9-4-5,Menteşe Sanjak,9-4,Aydin Vilayet,9.0,19.83,7.0,0.5,0.83,0.0
Muğla Kaza,Menteşe Sanjak -1,9-4-6,Menteşe Sanjak,9-4,Aydin Vilayet,9.0,19.83,7.0,0.5,0.83,0.0
Akhisar Kaza,Saruhan Sanjak-1,9-2-1,Saruhan Sanjak,9-2,Aydin Vilayet,9.0,49.45,44.81,0.44,0.9,0.09
Alaşehir Kaza,Saruhan Sanjak-1,9-2-2,Saruhan Sanjak,9-2,Aydin Vilayet,9.0,49.45,44.81,0.44,0.9,0.09
Demirci Kaza,Saruhan Sanjak-1,9-2-3,Saruhan Sanjak,9-2,Aydin Vilayet,9.0,49.45,44.81,0.44,0.9,0.09
Eşme Kaza,Saruhan Sanjak-1,9-2-4,Saruhan Sanjak,9-2,Aydin Vilayet,9.0,49.45,44.81,0.44,0.9,0.09
Gördes Kaza,Saruhan Sanjak-1,9-2-5,Saruhan Sanjak,9-2,Aydin Vilayet,9.0,49.45,44.81,0.44,0.9,0.09
Kasaba (Turgutlu) Kaza,Saruhan Sanjak-1,9-2-6,Saruhan Sanjak,9-2,Aydin Vilayet,9.0,49.45,44.81,0.44,0.9,0.09
Kirkağaç Kaza,Saruhan Sanjak-1,9-2-7,Saruhan Sanjak,9-2,Aydin Vilayet,9.0,49.45,44.81,0.44,0.9,0.09
Kula Kaza,Saruhan Sanjak-1,9-2-8,Saruhan Sanjak,9-2,Aydin Vilayet,9.0,49.45,44.81,0.44,0.9,0.09
Manisa Kaza,Saruhan Sanjak-1,9-2-9,Saruhan Sanjak,9-2,Aydin Vilayet,9.0,49.45,44.81,0.44,0.9,0.09
Salihli Kaza,Saruhan Sanjak-1,9-2-10,Saruhan Sanjak,9-2,Aydin Vilayet,9.0,49.45,44.81,0.44,0.9,0.09
Soma Kaza,Saruhan Sanjak-1,9-2-11,Saruhan Sanjak,9-2,Aydin Vilayet,9.0,49.45,44.81,0.44,0.9,0.09
Ahlat Kaza,Bitlis Sanjak-1,13-1-1,Bitlis Sanjak,13-1,Bitlis Vilayet,13.0,6.25,0.5,0.5,0.25,0.25
Bitlis Kaza,Bitlis Sanjak-1,13-1-2,Bitlis Sanjak,13-1,Bitlis Vilayet,13.0,6.25,0.5,0.5,0.25,0.25
Hizan Kaza,Bitlis Sanjak-1,13-1-3,Bitlis Sanjak,13-1,Bitlis Vilayet,13.0,6.25,0.5,0.5,0.25,0.25
Mutki Kaza,Bitlis Sanjak-1,13-1-4,Bitlis Sanjak,13-1,Bitlis Vilayet,13.0,6.25,0.5,0.5,0.25,0.25
Capakcur,Genc Sanjak-1,13-4-1,Genc Sanjak,13-4,Bitlis Vilayet,13.0,2.66,0.0,0.5,0.33,0.0
Genc Kaza,Genc Sanjak-1,13-4-2,Genc Sanjak,13-4,Bitlis Vilayet,13.0,2.66,0.0,0.5,0.33,0.0
Kulp Kaza,Genc Sanjak-1,13-4-3,Genc Sanjak,13-4,Bitlis Vilayet,13.0,2.66,0.0,0.5,0.33,0.0
Bulanik Kaza,Mus Sanjak-1,13-3-1,Mus Sanjak,13-3,Bitlis Vilayet,13.0,3.6,0.2,0.5,0.2,0.0
Malazgirt Kaza,Mus Sanjak-1,13-3-2,Mus Sanjak,13-3,Bitlis Vilayet,13.0,3.6,0.2,0.5,0.2,0.0
Mus Kaza,Mus Sanjak-1,13-3-3,Mus Sanjak,13-3,Bitlis Vilayet,13.0,3.6,0.2,0.5,0.2,0.0
Sason Kaza,Mus Sanjak-1,13-3-4,Mus Sanjak,13-3,Bitlis Vilayet,13.0,3.6,0.2,0.5,0.2,0.0
Varto Kaza,Mus Sanjak-1,13-3-5,Mus Sanjak,13-3,Bitlis Vilayet,13.0,3.6,0.2,0.5,0.2,0.0
Eruh Kaza,Siirt Sanjak-1,13-2-1,Siirt Sanjak,13-2,Bitlis Vilayet,13.0,3.6,0.0,0.2,0.2,0.0
Garzan Kaza,Siirt Sanjak-1,13-2-2,Siirt Sanjak,13-2,Bitlis Vilayet,13.0,3.6,0.0,0.2,0.2,0.0
Pervari Kaza,Siirt Sanjak-1,13-2-3,Siirt Sanjak,13-2,Bitlis Vilayet,13.0,3.6,0.0,0.2,0.2,0.0
Siirt Kaza,Siirt Sanjak-1,13-2-4,Siirt Sanjak,13-2,Bitlis Vilayet,13.0,3.6,0.0,0.2,0.2,0.0
Sirvan Kaza,Siirt Sanjak-1,13-2-5,Siirt Sanjak,13-2,Bitlis Vilayet,13.0,3.6,0.0,0.2,0.2,0.0
Afyon Central Kaza,Afyonkarahisari (Karahisar-i Sahip) Sanjak-1,16-4-1,Afyonkarahisari (Karahisar-i Sahip) Sanjak,16-4,Bursa (Hüdavendigar) Province,16.0,3.75,0.75,0.28,1.25,0.0
Bolvadin Kaza,Afyonkarahisari (Karahisar-i Sahip) Sanjak-1,16-4-2,Afyonkarahisari (Karahisar-i Sahip) Sanjak,16-4,Bursa (Hüdavendigar) Province,16.0,3.75,0.75,0.28,1.25,0.0
Emirdağ (Aziziye) Kaza,Afyonkarahisari (Karahisar-i Sahip) Sanjak-1,16-4-3,Afyonkarahisari (Karahisar-i Sahip) Sanjak,16-4,Bursa (Hüdavendigar) Province,16.0,3.75,0.75,0.28,1.25,0.0
Sandikli Kaza,Afyonkarahisari (Karahisar-i Sahip) Sanjak-1,16-4-4,Afyonkarahisari (Karahisar-i Sahip) Sanjak,16-4,Bursa (Hüdavendigar) Province,16.0,3.75,0.75,0.28,1.25,0.0
Bursa Kaza,Bursa Sanjak-1,16-1-1,Bursa Sanjak,16-1,Bursa (Hüdavendigar) Province,16.0,2.57,1.42,1.71,1.42,0.14
Gemlik Kaza,Bursa Sanjak-1,16-1-2,Bursa Sanjak,16-1,Bursa (Hüdavendigar) Province,16.0,2.57,1.42,1.71,1.42,0.14
Kirmasti (M. Kemalpaşa),Bursa Sanjak-1,16-1-3,Bursa Sanjak,16-1,Bursa (Hüdavendigar) Province,16.0,2.57,1.42,1.71,1.42,0.14
"Mihaliç ,, (Karacabey)",Bursa Sanjak-1,16-1-4,Bursa Sanjak,16-1,Bursa (Hüdavendigar) Province,16.0,2.57,1.42,1.71,1.42,0.14
Mudanya Kaza,Bursa Sanjak-1,16-1-5,Bursa Sanjak,16-1,Bursa (Hüdavendigar) Province,16.0,2.57,1.42,1.71,1.42,0.14
Orhaneli (Adranos) Kaza,Bursa Sanjak-1,16-1-6,Bursa Sanjak,16-1,Bursa (Hüdavendigar) Province,16.0,2.57,1.42,1.71,1.42,0.14
Bilecik Kaza,Ertuğrul Sanjak-1,16-2-1,Ertuğrul Sanjak,16-2,Bursa (Hüdavendigar) Province,16.0,4.25,0.75,1.71,2.75,0.0
İnegöl Kaza,Ertuğrul Sanjak-1,16-2-2,Ertuğrul Sanjak,16-2,Bursa (Hüdavendigar) Province,16.0,4.25,0.75,1.71,2.75,0.0
Söğüt Kaza,Ertuğrul Sanjak-1,16-2-3,Ertuğrul Sanjak,16-2,Bursa (Hüdavendigar) Province,16.0,4.25,0.75,1.71,2.75,0.0
Yenişehir Kaza,Ertuğrul Sanjak-1,16-2-4,Ertuğrul Sanjak,16-2,Bursa (Hüdavendigar) Province,16.0,4.25,0.75,1.71,2.75,0.0
Ayvalik Kaza,Karesi Sanjak-1,16-5-1,Karesi Sanjak,16-5,Bursa (Hüdavendigar) Province,16.0,2.22,0.11,1.14,1.33,0.0
Balikesir Kaza,Karesi Sanjak-1,16-5-2,Karesi Sanjak,16-5,Bursa (Hüdavendigar) Province,16.0,2.22,0.11,1.14,1.33,0.0
Bandirma Kaza,Karesi Sanjak-1,16-5-3,Karesi Sanjak,16-5,Bursa (Hüdavendigar) Province,16.0,2.22,0.11,1.14,1.33,0.0
Bigadiç Kaza,Karesi Sanjak-1,16-5-4,Karesi Sanjak,16-5,Bursa (Hüdavendigar) Province,16.0,2.22,0.11,1.14,1.33,0.0
Burhaniye (Kemer) Kaza,Karesi Sanjak-1,16-5-5,Karesi Sanjak,16-5,Bursa (Hüdavendigar) Province,16.0,2.22,0.11,1.14,1.33,0.0
Edremit Kaza,Karesi Sanjak-1,16-5-6,Karesi Sanjak,16-5,Bursa (Hüdavendigar) Province,16.0,2.22,0.11,1.14,1.33,0.0
Erdek Kaza,Karesi Sanjak-1,16-5-7,Karesi Sanjak,16-5,Bursa (Hüdavendigar) Province,16.0,2.22,0.11,1.14,1.33,0.0
Gönen Kaza,Karesi Sanjak-1,16-5-8,Karesi Sanjak,16-5,Bursa (Hüdavendigar) Province,16.0,2.22,0.11,1.14,1.33,0.0
Sindirği Kaza,Karesi Sanjak-1,16-5-9,Karesi Sanjak,16-5,Bursa (Hüdavendigar) Province,16.0,2.22,0.11,1.14,1.33,0.0
Eskişehir Kaza,Kütahya Sanjak-1,16-3-1,Kütahya Sanjak,16-3,Bursa (Hüdavendigar) Province,16.0,4.4,0.8,1.0,1.2,0.2
Gediz Kaza,Kütahya Sanjak-1,16-3-2,Kütahya Sanjak,16-3,Bursa (Hüdavendigar) Province,16.0,4.4,0.8,1.0,1.2,0.2
Kütahya Central Kaza,Kütahya Sanjak-1,16-3-3,Kütahya Sanjak,16-3,Bursa (Hüdavendigar) Province,16.0,4.4,0.8,1.0,1.2,0.2
Simav Kaza,Kütahya Sanjak-1,16-3-4,Kütahya Sanjak,16-3,Bursa (Hüdavendigar) Province,16.0,4.4,0.8,1.0,1.2,0.2
Uşak Kaza,Kütahya Sanjak-1,16-3-5,Kütahya Sanjak,16-3,Bursa (Hüdavendigar) Province,16.0,4.4,0.8,1.0,1.2,0.2
Derik Kaza,Diyarbekir Sanjak-1,21-1-1,Diyarbekir Sanjak,21-1,Diyarbekir Vilayet,21.0,14.16,0.16,0.66,0.66,0.16
Diyarbekir Central Kaza,Diyarbekir Sanjak-1,21-1-2,Diyarbekir Sanjak,21-1,Diyarbekir Vilayet,21.0,14.16,0.16,0.66,0.66,0.16
Lice Kaza,Diyarbekir Sanjak-1,21-1-3,Diyarbekir Sanjak,21-1,Diyarbekir Vilayet,21.0,14.16,0.16,0.66,0.66,0.16
Silvan Kaza,Diyarbekir Sanjak-1,21-1-4,Diyarbekir Sanjak,21-1,Diyarbekir Vilayet,21.0,14.16,0.16,0.66,0.66,0.16
Siverek Kaza,Diyarbekir Sanjak-1,21-1-5,Diyarbekir Sanjak,21-1,Diyarbekir Vilayet,21.0,14.16,0.16,0.66,0.66,0.16
Çermik Kaza,Maden Sanjak (Ergani)-1,21-3-1,Maden Sanjak (Ergani),21-3,Diyarbekir Vilayet,21.0,30.66,0.33,1.33,1.66,0.0
Maden Central Kaza,Maden Sanjak (Ergani)-1,21-3-2,Maden Sanjak (Ergani),21-3,Diyarbekir Vilayet,21.0,30.66,0.33,1.33,1.66,0.0
Palu Kaza,Maden Sanjak (Ergani)-1,21-3-3,Maden Sanjak (Ergani),21-3,Diyarbekir Vilayet,21.0,30.66,0.33,1.33,1.66,0.0
Avniye Kaza,Mardin Sanjak-1,21-2-1,Mardin Sanjak,21-2,Diyarbekir Vilayet,21.0,14.0,0.0,0.0,0.6,0.0
Cizre Kaza,Mardin Sanjak-1,21-2-2,Mardin Sanjak,21-2,Diyarbekir Vilayet,21.0,14.0,0.0,0.0,0.6,0.0
Mardin Central Kaza,Mardin Sanjak-1,21-2-3,Mardin Sanjak,21-2,Diyarbekir Vilayet,21.0,14.0,0.0,0.0,0.6,0.0
Midyat Kaza,Mardin Sanjak-1,21-2-4,Mardin Sanjak,21-2,Diyarbekir Vilayet,21.0,14.0,0.0,0.0,0.6,0.0
Nusaybin Kaza,Mardin Sanjak-1,21-2-5,Mardin Sanjak,21-2,Diyarbekir Vilayet,21.0,14.0,0.0,0.0,0.6,0.0
Dedeağaç Kaza,Edirne Sanjak-1,22-1-1,Edirne Sanjak,22-1,Edirne Vilayet,22.0,1.33,,0.7,1.0,0.33
Edirne Central Sanjak,Edirne Sanjak-1,22-1-2,Edirne Sanjak,22-1,Edirne Vilayet,22.0,1.37,,0.7,0.87,0.25
Gelibolu Kaza,Edirne Sanjak-1,22-1-3,Edirne Sanjak,22-1,Edirne Vilayet,22.0,3.4,,0.5,1.0,0.2
Gümülcine Kaza,Edirne Sanjak-1,22-1-4,Edirne Sanjak,22-1,Edirne Vilayet,22.0,3.83,,0.5,1.0,0.16
Kirkkilise (Korklareli) Kaza,Edirne Sanjak-1,22-1-5,Edirne Sanjak,22-1,Edirne Vilayet,22.0,1.85,,0.7,0.71,0.14
Tekirdağı (Tekfurdağı),Edirne Sanjak-1,22-1-6,Edirne Sanjak,22-1,Edirne Vilayet,22.0,1.25,,0.62,1.0,0.25
Carsancak Kaza,Dersim Kaza-1,23-3-1,Dersim Kaza,23-3,Elâziz (Elazığ) Vilayet,23.0,3.16,0.16,0.66,0.83,0.0
Cemisgezek Kaza,Dersim Kaza-1,23-3-2,Dersim Kaza,23-3,Elâziz (Elazığ) Vilayet,23.0,3.16,0.16,0.66,0.83,0.0
Hozat Kaza,Dersim Kaza-1,23-3-3,Dersim Kaza,23-3,Elâziz (Elazığ) Vilayet,23.0,3.16,0.16,0.66,0.83,0.0
Kizilkilise,Dersim Kaza-1,23-3-4,Dersim Kaza,23-3,Elâziz (Elazığ) Vilayet,23.0,3.16,0.16,0.66,0.83,0.0
Mazgirt Kaza,Dersim Kaza-1,23-3-5,Dersim Kaza,23-3,Elâziz (Elazığ) Vilayet,23.0,3.16,0.16,0.66,0.83,0.0
Ovacik Kaza,Dersim Kaza-1,23-3-6,Dersim Kaza,23-3,Elâziz (Elazığ) Vilayet,23.0,3.16,0.16,0.66,0.83,0.0
Arabkir Kaza,Elaziz Sanjak-1,23-1-1,Elaziz Sanjak,23-1,Elâziz (Elazığ) Vilayet,23.0,5.33,0.33,1.2,1.0,0.16
Egin Kaza,Elaziz Sanjak-1,23-1-2,Elaziz Sanjak,23-1,Elâziz (Elazığ) Vilayet,23.0,5.33,0.33,1.2,1.0,0.16
Elaziz Merkez Kaza,Elaziz Sanjak-1,23-1-3,Elaziz Sanjak,23-1,Elâziz (Elazığ) Vilayet,23.0,5.33,0.33,1.2,1.0,0.16
Keban Madeni Kaza,Elaziz Sanjak-1,23-1-4,Elaziz Sanjak,23-1,Elâziz (Elazığ) Vilayet,23.0,5.33,0.33,1.2,1.0,0.16
Adıyaman (Hisn-i Mansur) Kaza,Malatya Kaza-1,23-2-1,Malatya Kaza,23-2,Elâziz (Elazığ) Vilayet,23.0,5.2,0.0,0.4,1.0,0.0
Akcadag Kaza,Malatya Kaza-1,23-2-2,Malatya Kaza,23-2,Elâziz (Elazığ) Vilayet,23.0,5.2,0.0,0.4,1.0,0.0
Behisni Kaza,Malatya Kaza-1,23-2-3,Malatya Kaza,23-2,Elâziz (Elazığ) Vilayet,23.0,5.2,0.0,0.4,1.0,0.0
Kahta Kaza,Malatya Kaza-1,23-2-4,Malatya Kaza,23-2,Elâziz (Elazığ) Vilayet,23.0,5.2,0.0,0.4,1.0,0.0
Malatya Merkez Kaza,Malatya Kaza-1,23-2-5,Malatya Kaza,23-2,Elâziz (Elazığ) Vilayet,23.0,5.2,0.0,0.4,1.0,0.0
Bayezit Central Kaza,Bayezit Sanjak-1,25-2-1,Bayezit Sanjak,25-2,Erzurum Vilayet,25.0,1.2,0.0,0.25,0.6,0.0
Diyadin Kaza,Bayezit Sanjak-1,25-2-2,Bayezit Sanjak,25-2,Erzurum Vilayet,25.0,1.2,0.0,0.25,0.6,0.0
Eleşkirt Kaza,Bayezit Sanjak-1,25-2-3,Bayezit Sanjak,25-2,Erzurum Vilayet,25.0,1.2,0.0,0.25,0.6,0.0
Karakilise (Karaköse) Kaza,Bayezit Sanjak-1,25-2-4,Bayezit Sanjak,25-2,Erzurum Vilayet,25.0,1.2,0.0,0.25,0.6,0.0
Tutak (Antap) Kaza,Bayezit Sanjak-1,25-2-5,Bayezit Sanjak,25-2,Erzurum Vilayet,25.0,1.2,0.0,0.25,0.6,0.0
Erzincan Central Kaza,Erzincan Sanjak-1,25-3-1,Erzincan Sanjak,25-3,Erzurum Vilayet,25.0,4.2,0.2,0.66,0.6,0.0
Kemah Kaza,Erzincan Sanjak-1,25-3-2,Erzincan Sanjak,25-3,Erzurum Vilayet,25.0,4.2,0.2,0.66,0.6,0.0
Kuruçay (İliç) Kaza,Erzincan Sanjak-1,25-3-3,Erzincan Sanjak,25-3,Erzurum Vilayet,25.0,4.2,0.2,0.66,0.6,0.0
Pülümür (Kuzican) Kaza,Erzincan Sanjak-1,25-3-4,Erzincan Sanjak,25-3,Erzurum Vilayet,25.0,4.2,0.2,0.66,0.6,0.0
Refahiye Kaza,Erzincan Sanjak-1,25-3-5,Erzincan Sanjak,25-3,Erzurum Vilayet,25.0,4.2,0.2,0.66,0.6,0.0
Bayburt Kaza,Erzurum Sanjak-1,25-1-1,Erzurum Sanjak,25-1,Erzurum Vilayet,25.0,7.75,0.37,0.85,0.87,0.25
Erzurum Central Kaza,Erzurum Sanjak-1,25-1-2,Erzurum Sanjak,25-1,Erzurum Vilayet,25.0,7.75,0.37,0.85,0.87,0.25
Hinis Kaza,Erzurum Sanjak-1,25-1-3,Erzurum Sanjak,25-1,Erzurum Vilayet,25.0,3.0,0.0,0.85,1.0,0.0
Ispir Kaza,Erzurum Sanjak-1,25-1-4,Erzurum Sanjak,25-1,Erzurum Vilayet,25.0,7.75,0.37,0.85,0.87,0.25
Gisgim Kaza,Erzurum Sanjak-1,25-1-5,Erzurum Sanjak,25-1,Erzurum Vilayet,25.0,7.75,0.37,0.85,0.87,0.25
Kiği Kaza,Erzurum Sanjak-1,25-1-6,Erzurum Sanjak,25-1,Erzurum Vilayet,25.0,7.75,0.37,0.85,0.87,0.25
Ova Kaza,Erzurum Sanjak-1,25-1-7,Erzurum Sanjak,25-1,Erzurum Vilayet,25.0,7.75,0.37,0.85,0.87,0.25
Pasinler Kaza,Erzurum Sanjak-1,25-1-8,Erzurum Sanjak,25-1,Erzurum Vilayet,25.0,7.75,0.37,0.85,0.87,0.25
Tercan Kaza,Erzurum Sanjak-1,25-1-9,Erzurum Sanjak,25-1,Erzurum Vilayet,25.0,7.75,0.37,0.85,0.87,0.25
Tortum Kaza,Erzurum Sanjak-1,25-1-10,Erzurum Sanjak,25-1,Erzurum Vilayet,25.0,7.75,0.37,0.85,0.87,0.25
Antakya Kaza,Halep Sanjak-1,27-1-1,Halep Sanjak,27-1,Halep Vilayet,27.0,6.21,0.42,0.4,1.07,0.14
Antep Kaza,Halep Sanjak-1,27-1-2,Halep Sanjak,27-1,Halep Vilayet,27.0,6.21,0.42,0.4,1.07,0.14
Bâb Kaza,Halep Sanjak-1,27-1-3,Halep Sanjak,27-1,Halep Vilayet,27.0,6.21,0.42,0.4,1.07,0.14
Belen Kaza,Halep Sanjak-1,27-1-4,Halep Sanjak,27-1,Halep Vilayet,27.0,6.21,0.42,0.4,1.07,0.14
Cebel-i Sem'ân Kaza,Halep Sanjak-1,27-1-5,Halep Sanjak,27-1,Halep Vilayet,27.0,6.21,0.42,0.4,1.07,0.14
Cisr-i Şuğûr Kaza,Halep Sanjak-1,27-1-6,Halep Sanjak,27-1,Halep Vilayet,27.0,6.21,0.42,0.4,1.07,0.14
Halep Kaza,Halep Sanjak-1,27-1-7,Halep Sanjak,27-1,Halep Vilayet,27.0,6.21,0.42,0.4,1.07,0.14
Harim Kaza,Halep Sanjak-1,27-1-8,Halep Sanjak,27-1,Halep Vilayet,27.0,6.21,0.42,0.4,1.07,0.14
Idlib Kaza,Halep Sanjak-1,27-1-9,Halep Sanjak,27-1,Halep Vilayet,27.0,6.21,0.42,0.4,1.07,0.14
Iskenderun Kaza,Halep Sanjak-1,27-1-10,Halep Sanjak,27-1,Halep Vilayet,27.0,6.21,0.42,0.4,1.07,0.14
Kilis Kaza,Halep Sanjak-1,27-1-11,Halep Sanjak,27-1,Halep Vilayet,27.0,6.21,0.42,0.4,1.07,0.14
Mare Kaza,Halep Sanjak-1,27-1-12,Halep Sanjak,27-1,Halep Vilayet,27.0,6.21,0.42,0.4,1.07,0.14
Münbiç Kaza,Halep Sanjak-1,27-1-13,Halep Sanjak,27-1,Halep Vilayet,27.0,6.21,0.42,0.4,1.07,0.14
Rakka Kaza,Halep Sanjak-1,27-1-14,Halep Sanjak,27-1,Halep Vilayet,27.0,6.21,0.42,0.4,1.07,0.14
Andirin Kaza,Maraş Sanjak-1,27-3-1,Maraş Sanjak,27-3,Halep Vilayet,27.0,4.6,1.6,0.28,2.8,0.0
Elbistan Kaza,Maraş Sanjak-1,27-3-2,Maraş Sanjak,27-3,Halep Vilayet,27.0,4.6,1.6,0.28,2.8,0.0
Maraş Kaza,Maraş Sanjak-1,27-3-3,Maraş Sanjak,27-3,Halep Vilayet,27.0,4.6,1.6,0.28,2.8,0.0
Pazarcik Kaza,Maraş Sanjak-1,27-3-4,Maraş Sanjak,27-3,Halep Vilayet,27.0,4.6,1.6,0.28,2.8,0.0
Zeytun Kaza,Maraş Sanjak-1,27-3-5,Maraş Sanjak,27-3,Halep Vilayet,27.0,4.6,1.6,0.28,2.8,0.0
Birecik Kaza,Urfa Sanjak-1,27-2-1,Urfa Sanjak,27-2,Halep Vilayet,27.0,4.6,1.8,0.75,0.8,0.2
Harran Kaza,Urfa Sanjak-1,27-2-2,Urfa Sanjak,27-2,Halep Vilayet,27.0,4.6,1.8,0.75,0.8,0.2
Rumkale,Urfa Sanjak-1,27-2-3,Urfa Sanjak,27-2,Halep Vilayet,27.0,4.6,1.8,0.75,0.8,0.2
Suruc,Urfa Sanjak-1,27-2-4,Urfa Sanjak,27-2,Halep Vilayet,27.0,4.6,1.8,0.75,0.8,0.2
Urfa Kaza,Urfa Sanjak-1,27-2-5,Urfa Sanjak,27-2,Halep Vilayet,27.0,4.6,1.8,0.75,0.8,0.2
Adalar Kaza,Istanbul Vilayet-7,34-7,N/A,34,Istanbul Vilayet,34.0,72.0,75.5,,7.5,4.5
Beykoz Kaza,Istanbul Vilayet-5,34-5,N/A,34,Istanbul Vilayet,34.0,72.0,75.5,,7.5,4.5
Gebze Kaza,Istanbul Vilayet-3,34-3,N/A,34,Istanbul Vilayet,34.0,72.0,75.5,,7.5,4.5
Istanbul City and Greater Istanbul,Istanbul Vilayet-1,34-1,N/A,34,Istanbul Vilayet,34.0,72.0,75.5,,7.5,4.5
Kartal Kaza,Istanbul Vilayet-4,34-4,N/A,34,Istanbul Vilayet,34.0,72.0,75.5,,7.5,4.5
Küçükçekmece Kaza,Istanbul Vilayet-2,34-2,N/A,34,Istanbul Vilayet,34.0,72.0,75.5,,7.5,4.5
Şile Kaza,Istanbul Vilayet-6,34-6,N/A,34,Istanbul Vilayet,34.0,72.0,75.5,,7.5,4.5
Bartin Kaza,Bolu Sanjak-1,37-2-1,Bolu Sanjak,37-2,Kastamonu Vilayet,37.0,24.55,23.33,1.0,1.11,0.0
Bolu Central Kaza,Bolu Sanjak-1,37-2-2,Bolu Sanjak,37-2,Kastamonu Vilayet,37.0,24.55,23.33,1.0,1.11,0.0
Düzçe Kaza,Bolu Sanjak-1,37-2-3,Bolu Sanjak,37-2,Kastamonu Vilayet,37.0,24.55,23.33,1.0,1.11,0.0
