NameofKaza,kazcode,NameofSanjak,sancode,NameofVilayet,vilcode,Muslims_Female,Muslims_Male,Greeks_Female,Greeks_Male,Armenians_Female,Armenians_Male,Bulgarians_Female,Bulgarians_Male,Catholics_Female,Catholics_Male,Jews_Female,Jews_Male,Protestants_Female,Protestants_Male,Latins_Female,Latins_Male,Monophysites_Female,Monophysites_Male,NonMuslimGypsies_Female,NonMuslimGypsies_Male,ForeignCitizens_Female,ForeignCitizens_Male,Total_Muslim,Total_Christian,Total_NonMuslim,Total_Armenian,Christian_Muslim_Ratio,Armenian_Muslim_Ratio,ArmenianShare,ChristianShare,Total_Female,Total_Male,GrandTotal,Source,CentralKazaDummy,AP,FID,Id,Vilayet,Sanjak,kaza,_merge
Hizan Kaza,13-1-3,Bitlis Sanjak,13-1,Bitlis Vilayet,13.0,3511.0,4753.0,,,2380.0,3340.0,,,,,,,,,,,,,,,,,8264.0,5720.0,5720.0,5720.0,0.6921587609,0.6921587609,0.4090389016,0.4090389016,,,13984.0,1892 Salnamesi,0.0,"replace kazcode=""13-1-3"" if kaza==""Hizan Kaza""",188.0,0,Bitlis,Bitlis,Hizan Kaza,3
Mutki Kaza,13-1-4,Bitlis Sanjak,13-1,Bitlis Vilayet,13.0,1449.0,1732.0,,,879.0,1133.0,,,,,,,,,,,,,,,,,3181.0,2012.0,2012.0,2012.0,0.6325055014,0.6325055014,0.387444637,0.387444637,,,5193.0,1892 Salnamesi,0.0,"replace kazcode=""13-1-4"" if kaza==""Mutki Kaza""",187.0,0,Bitlis,Bitlis,Mutki Kaza,3
Eruh Kaza,13-2-1,Siirt Sanjak,13-2,Bitlis Vilayet,13.0,6531.0,7958.0,,,701.0,967.0,,,,,,,,,,,75.0,72.0,,,,,14489.0,1815.0,1815.0,1668.0,0.1252674443,0.1151218166,0.1023061825,0.1113223749,,,16304.0,1892 Salnamesi,0.0,"replace kazcode=""13-2-1"" if kaza==""Eruh Kaza""",182.0,0,Bitlis,Siirt,Eruh Kaza,3
Garzan Kaza,13-2-2,Siirt Sanjak,13-2,Bitlis Vilayet,13.0,5844.0,6552.0,,,1712.0,1846.0,,,186.0,166.0,,,75.0,74.0,,,389.0,405.0,,,,,12396.0,4853.0,4853.0,3558.0,0.3914972572,0.2870280736,0.2062728274,0.2813496435,,,17249.0,1892 Salnamesi,0.0,"replace kazcode=""13-2-2"" if kaza==""Garzan Kaza""",31.0,0,Bitlis,Siirt,Garzan Kaza,3
Pervari Kaza,13-2-3,Siirt Sanjak,13-2,Bitlis Vilayet,13.0,1770.0,2090.0,,,500.0,585.0,,,,,,,,,,,,,,,,,3860.0,1085.0,1085.0,1085.0,0.2810880829,0.2810880829,0.219413549,0.219413549,,,4945.0,1892 Salnamesi,0.0,"replace kazcode=""13-2-3"" if kaza==""Pervari Kaza""",183.0,0,Bitlis,Siirt,Pervani Kaza,3
Siirt Kaza,13-2-4,Siirt Sanjak,13-2,Bitlis Vilayet,13.0,7714.0,7608.0,,,974.0,958.0,,,208.0,270.0,,,123.0,133.0,,,141.0,175.0,,,,,15322.0,2982.0,2982.0,1932.0,0.194622112,0.1260931993,0.1055506993,0.1629152098,,,18304.0,1892 Salnamesi,1.0,"replace kazcode=""13-2-4"" if kaza==""Siirt Kaza""",180.0,0,Bitlis,Siirt,SiirtMerkez Kaza,3
Sirvan Kaza,13-2-5,Siirt Sanjak,13-2,Bitlis Vilayet,13.0,5938.0,7482.0,,,332.0,428.0,,,,,,,,,,,625.0,813.0,,,,,13420.0,2198.0,2198.0,760.0,0.1637853949,0.0566318927,0.04866180049,0.1407350493,,,15618.0,1892 Salnamesi,0.0,"replace kazcode=""13-2-5"" if kaza==""Sirvan Kaza""",181.0,0,Bitlis,Siirt,Sirvan Kaza,3
Bulanik Kaza,13-3-1,Mus Sanjak,13-3,Bitlis Vilayet,13.0,3620.0,4847.0,,,7442.0,9447.0,,,,,,,,,,,,,,,,,8467.0,16889.0,16889.0,16889.0,1.994685249,1.994685249,0.6660750907,0.6660750907,,,25356.0,1892 Salnamesi,0.0,"replace kazcode=""13-3-1"" if kaza==""Bulanik Kaza""",194.0,0,Bitlis,Mus,Bulanik Kaza,3
Malazgirt Kaza,13-3-2,Mus Sanjak,13-3,Bitlis Vilayet,13.0,4899.0,5167.0,,,2059.0,2524.0,,,,,,,,,,,,,,,,,10066.0,4583.0,4583.0,4583.0,0.4552950527,0.4552950527,0.3128541197,0.3128541197,,,14649.0,1892 Salnamesi,0.0,"replace kazcode=""13-3-2"" if kaza==""Malazgirt Kaza""",195.0,0,Bitlis,Mus,Malazgirt Kaza,3
Mus Kaza,13-3-3,Mus Sanjak,13-3,Bitlis Vilayet,13.0,9795.0,11451.0,,,13742.0,18649.0,,,1089.0,1360.0,,,187.0,301.0,,,,,,,,,21246.0,35328.0,35328.0,32391.0,1.662807117,1.524569331,0.5725421572,0.6244564641,,,56574.0,1892 Salnamesi,1.0,"replace kazcode=""13-3-3"" if kaza==""Mus Kaza""",192.0,0,Bitlis,Mus,MusMerkez Kaza,3
Sason Kaza,13-3-4,Mus Sanjak,13-3,Bitlis Vilayet,13.0,5543.0,7805.0,,,1570.0,1617.0,,,,,,,,,,,,,,,,,13348.0,3187.0,3187.0,3187.0,0.2387623614,0.2387623614,0.1927426671,0.1927426671,,,16535.0,1892 Salnamesi,0.0,"replace kazcode=""13-3-4"" if kaza==""Sason Kaza""",191.0,0,Bitlis,Mus,Sasun Kaza,3
Varto Kaza,13-3-5,Mus Sanjak,13-3,Bitlis Vilayet,13.0,4715.0,5976.0,,,498.0,726.0,,,,,,,,,,,,,,,,,10691.0,1224.0,1224.0,1224.0,0.1144888224,0.1144888224,0.1027276542,0.1027276542,,,11915.0,1892 Salnamesi,0.0,"replace kazcode=""13-3-5"" if kaza==""Varto Kaza""",193.0,0,Bitlis,Mus,Varto Kaza,3
Capakcur,13-4-1,Genc Sanjak,13-4,Bitlis Vilayet,13.0,4085.0,5002.0,,,369.0,429.0,,,,,,,,,,,,,,,,,9087.0,798.0,798.0,798.0,0.08781776164,0.08781776164,0.08072837633,0.08072837633,,,9885.0,1892 Salnamesi,0.0,"replace kazcode=""13-4-1"" if kaza==""Capakcur""",184.0,0,Bitlis,Genc,Capakcur Kaza,3
